term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
yeah,-0.16269721910686574,-0.1947219166614227,0.07125171542785762,-0.0925374407868345,0.041523147111199796,-0.2403838086596795,-0.11400722344475621,0.21150052013928428,0.08304504285611529,-0.1897537480568671,0.1705497587313476,0.0525951542487139,0.24327796714342292,0.0231503464407991,-0.12271696605454029,0.1575656428493593,0.5553525071412623,-0.10157226053917383,0.19737641826730473,-0.23456874519518658
baby,-0.049925318941162034,-0.21094700100708708,-0.09597245016756363,-0.297551346994098,-0.08992360816072531,0.09324439085427408,0.041194728935985636,-0.07543996563327413,0.13191830110059363,0.04159300439365784,0.2718083640734155,-0.023238545622327123,-0.20275514509464443,0.010570204494780758,0.020649929032745987,-0.28108843863843813,-0.170948447687778,0.0983804532367059,0.5272491454984708,0.1618241021218177
love,0.029057990604647643,-0.24857845505663884,-0.11324308593005872,-0.04912671694305781,-0.043879106308717906,0.11581011590521792,0.011519156651347146,-0.23906950063289678,0.09869992620591003,-0.024525471326019815,0.10153550299233592,-0.2079886420487348,0.10098251469721883,-0.3771206579524688,-0.4198484564559417,-0.15219662139754975,0.10390637530606545,-0.4089265510707797,-0.21981144438281752,0.18971544565164086
oh,-0.04991917767938997,-0.2001008040910917,-0.19943541078459281,-0.1396874834065168,0.0074467718385011206,-0.24093583786770678,-0.4843011022281836,0.36009358632794786,-0.48926531971471343,-0.07913125271852486,-0.13379579774555672,-0.1976670713684649,-0.19884593502404874,-0.13454148295789647,-0.0488201583564679,0.012333245004611505,-0.14369961959827127,0.0068312618180851395,-0.05976070820146362,0.11254831495914808
ya,0.13389337831951198,0.07983742671275657,0.11129646606363625,-0.28464650715060824,0.010919004976938056,0.005430182837909192,-0.18868153634698892,-0.2680476516132254,-0.13745003184176682,0.09979277482398324,0.040301507592860795,-0.10275317712592072,0.3244056256152857,0.3615284030269386,-0.20860424141558354,0.43254204073710906,-0.09603016264109222,0.01570228701350606,0.1260905193338752,0.21630223064495607
yo,0.1332478638590597,0.10063785503805539,0.09662067417605336,-0.18227195267216698,0.06738099909756401,-0.019551061277979287,-0.032016689228419215,0.021436253339518582,-0.007383717001566826,-0.02760697956373961,-0.13251429494106864,-0.020330032113238066,0.028332326840333086,0.016112262261381724,-0.055890246887126585,-0.31516087474224047,0.29557728422839885,0.16090771488705327,-0.01938803610971189,0.13174815460228229
ayy,-0.3962239236156625,-0.15891203315467892,0.268497115699235,-0.017058778774128314,0.7010966579629884,0.3945320784186121,-0.019119190775139447,-0.09239572549421643,-0.1796212648889581,0.052083073632680416,-0.043800249518175044,-0.013108378952960298,-0.02653765314580328,-0.09144790165567845,0.06014472974405864,0.026115031647477333,0.026579449807501897,0.05444907259169647,0.0063975962962226005,0.032476618071724694
uh,-0.1136526752329331,-0.11599380400957984,0.04412361160354883,-0.0690613014662686,0.24090316146283827,-0.7547388327952755,0.35144573829984194,-0.3254221855330499,-0.05029653678346025,0.10310842839982245,-0.0783230352171133,-0.07203149666806521,-0.033300220638417574,-0.02942033911942172,0.07003306983850796,-0.009214222505538425,-0.12727632907992095,-0.03681770543548902,-0.02104830105182457,0.04473934908894301
money,-0.04133926604883972,-0.035376444372746264,0.1518370958638603,0.009127546728172675,-0.11798992368691755,0.012606015839809248,0.09829054881440148,0.1085917750438237,-0.0607970481224443,0.005945231878101254,-0.04078854812876875,0.15966252384019375,0.08505706733560908,-0.21661426964728273,-0.13793958818081672,0.16321834605444754,-0.07886576544766298,0.19191867078750535,0.003641738754804197,0.23485258324885705
em,0.04178710536024826,0.00623697390209068,0.13689886925947292,-0.02296701304076937,-0.011698247665479916,-0.022196807352433887,-0.064330342916262,0.00901799256037042,0.03626960927420474,-0.005732896578848474,0.060690724727737774,-0.0041506944850256515,-0.04131512340302235,0.0206852591266488,0.0058946247934681464,-0.0012645069385884278,-0.09133099977813472,-0.01360808119749909,-0.05962623600788321,-0.06003432309672439
