Artist,source_file_path,num_songs,Artist ID,Website,Hometown,State,Year
Ski Mask the Slump God,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_SkiMasktheSlumpGod.json,222,396531,https://genius.com/artists/Ski-mask-the-slump-god,"Broward County, FL",FL,2017
Snoop Dogg,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_SnoopDogg.json,500,46,https://genius.com/artists/Snoop-dogg,"Long Beach, CA",CA,2008
Soulja Boy,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_SouljaBoy.json,500,1194,https://genius.com/artists/Soulja-boy,"Chicago, IL",IL,2012
T-Pain,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TPain.json,334,337,https://genius.com/artists/T-pain,"Tallahassee, FL",FL,2013
T.I.,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_T.I..json,423,85,https://genius.com/artists/Ti,"Atlanta, GA",GA,2010
Tech N9ne,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TechN9ne.json,500,506,https://genius.com/artists/Tech-n9ne,"Kansas City, MO",MO,2013
The Game,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TheGame.json,500,42,https://genius.com/artists/The-game,"Compton, CA",CA,2012
The Notorious B.I.G.,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TheNotoriousB.I.G..json,177,22,https://genius.com/artists/The-notorious-big,"Brooklyn, NY",NY,1997
Three 6 Mafia,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Three6Mafia.json,305,44,https://genius.com/artists/Three-6-mafia,"Memphis, TN",TN,2000
Too $hort,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Toohort.json,354,191,https://genius.com/artists/Too-short,"Oakland, CA",CA,2000
Travis Scott,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TravisScott.json,311,20185,https://genius.com/artists/Travis-scott,"Houston, TX",TX,2015
Trippie Redd,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TrippieRedd.json,500,1086436,https://genius.com/artists/Trippie-redd,"Canton, OH",OH,2019
Twista,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_Twista.json,272,74,https://genius.com/artists/Twista,"Chicago, IL",IL,2005
"Tyler, The Creator",C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_TylerTheCreator.json,395,685,https://genius.com/artists/Tyler-the-creator,"Los Angeles, CA",CA,2014
Warren G,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_WarrenG.json,102,169,https://genius.com/artists/Warren-g,"Long Beach, CA",CA,1999
Wu-Tang Clan,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_WuTangClan.json,178,21,https://genius.com/artists/Wu-tang-clan,"Staten Island, NY",NY,2001
YG,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_YG.json,237,1450,https://genius.com/artists/Yg,"Compton, CA",CA,2014
Yasiin Bey,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_YasiinBey.json,160,156,https://genius.com/artists/Yasiin-bey,"Brooklyn, NY",NY,2006
Young Thug,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_YoungThug.json,500,20503,https://genius.com/artists/Young-thug,"Atlanta, GA",GA,2016
YoungBoy Never Broke Again,C:\Users\ljd3frf\Documents\UVA\MSDS\DS_5001_Exploratory_Text_Analytics\Final_project\data/Lyrics_YoungBoyNeverBrokeAgain.json,500,656173,https://genius.com/artists/Youngboy-never-broke-again,"Baton Rouge, LA",LA,2019
